id_cm,ten_Chuyen_Muc
1,Thời sự
2,Góc nhìn
3,Thế giới
4,Kinh doanh
5,Bất động sản
6,Khoa học
7,Giải trí
8,Thể thao
9,Pháp luật
10,Giáo dục
11,Sức khỏe
12,Đời sống
13,Du lịch
14,Số hóa
15,Xe
